countyfips,year,DS_PM_pred,DS_PM_stdd
1,2016,8.17486392911354,3.35844210291439
1,2017,10.596632770167428,4.019370136225266
1,2018,12.783250875190259,4.580397991628615
1,2019,7.565817526636225,2.488658373668189
1,2020,11.294161036377006,3.689032365154202
101,2016,8.02642879260994,3.585171399947957
101,2017,8.826404566210046,3.636826692759296
101,2018,12.571640834964123,5.087904553163731
101,2019,8.432939595564253,3.090353881278539
101,2020,15.72769594067135,5.651084478272183
103,2016,6.049598643815201,3.052665996274218
103,2017,7.775317061021171,3.37276298879203
103,2018,10.83559501867995,4.439830311332503
103,2019,6.089856288916563,2.436033798256538
103,2020,13.184958430913349,5.095389910226386
105,2016,4.784125672131148,2.838068453551913
105,2017,6.73185698630137,3.480061095890411
105,2018,9.02302794520548,4.364135123287671
105,2019,4.650087123287671,2.244679397260274
105,2020,9.88018237704918,4.856586270491803
107,2016,13.410573630376909,6.606284126733922
107,2017,14.931426238145416,6.754923737267299
107,2018,16.258564137688795,6.977716174920969
107,2019,10.701923603793467,4.303709336143309
107,2020,20.633868587192954,8.261931418112367
109,2016,7.405229242424242,3.793610720317933
109,2017,8.589591531755915,4.010011407222914
109,2018,11.363402241594022,4.862189539227895
109,2019,5.422036363636364,2.28139300124533
109,2020,13.274979659987857,5.57991813904068
11,2016,6.275908224043716,2.981666300546448
11,2017,7.291788493150685,3.162103068493151
11,2018,11.151837808219178,4.552683068493151
11,2019,6.749036712328767,2.668331342465753
11,2020,13.411902094717668,5.284362613843352
111,2016,9.069026316371332,3.929079655548185
111,2017,9.533311362736559,3.895888396547628
111,2018,9.37250943067543,3.46288484598939
111,2019,6.854834317839892,2.338480345237153
111,2020,8.135629191832039,2.783657897612885
113,2016,7.811165971611356,3.628426697987472
113,2017,9.336942332108253,3.988233471433344
113,2018,12.674235683260942,5.199889709321751
113,2019,7.689952756431674,2.967659893083862
113,2020,13.708213217857511,5.272549871120734
115,2016,7.892101512490242,3.576222738095238
115,2017,8.532110371819961,3.558675283757339
115,2018,11.608505675146771,4.688448943248532
115,2019,8.01675205479452,2.957351898238748
115,2020,15.21340020132298,5.525365530629853
13,2016,8.240916745481295,3.496283903425809
13,2017,11.312038092729189,4.418740694151739
13,2018,13.523037262908325,5.025352909641728
13,2019,7.715138105900948,2.639746531875659
13,2020,11.743713938942329,4.016962487016213
15,2016,5.379815495706479,3.21639924668228
15,2017,7.23239530332681,3.474078043052838
15,2018,9.24439686888454,4.666888297455969
15,2019,5.662827005870842,3.015797299412916
15,2020,8.530163630843959,4.735557255616272
17,2016,6.473273795272589,3.04722794383022
17,2017,7.104043007327174,3.032238107677604
17,2018,8.794998152277796,3.463430672188595
17,2019,5.238325199107996,2.018440382287353
17,2020,10.85551043219076,4.170546388474913
19,2016,12.391224414421836,5.311603474201609
19,2017,13.642253431541268,5.443484459282715
19,2018,15.192601858608109,5.708123010945137
19,2019,10.027749927720796,3.571953461829696
19,2020,18.991092932604736,6.43950021129326
21,2016,6.728587390710382,3.33674193989071
21,2017,8.059427397260274,3.595131917808219
21,2018,11.529965753424658,4.934193059360731
21,2019,6.814370319634703,2.81198196347032
21,2020,14.583310792349727,5.931651229508197
23,2016,5.309509451730419,3.149686104735883
23,2017,6.99651698630137,3.645945589041096
23,2018,8.022321369863014,4.078284493150685
23,2019,5.659359452054794,2.838012858447489
23,2020,9.093866120218579,4.738262545537341
25,2016,9.41602673188789,4.503523056583818
25,2017,9.161267786124613,4.178678426866991
25,2018,9.590745470614229,4.089692885550155
25,2019,8.499662925320371,3.349147335395493
25,2020,10.256521516393443,4.034234931693989
27,2016,4.808602700364299,2.452098631147541
27,2017,5.415109132420091,2.540003926940639
27,2018,6.573558904109589,2.726975936073059
27,2019,4.507989497716895,1.81058397260274
27,2020,12.069356102003643,4.440325091074681
29,2016,11.581568583034777,5.363086354539862
29,2017,12.332782073845596,5.356507475278962
29,2018,13.204736278690012,5.34073427741994
29,2019,9.111891608455048,3.426304022498412
29,2020,15.02561530980828,5.642733189774938
3,2016,5.417625683060109,2.818558087431694
3,2017,6.132243835616438,2.871035342465753
3,2018,8.261906849315068,3.393747123287671
3,2019,3.569468493150685,1.497761917808219
3,2020,9.73024043715847,4.10904262295082
31,2016,13.392758530661809,6.112746809350334
31,2017,14.778935768645358,6.134786270928463
31,2018,15.824477422628108,6.240214591577879
31,2019,10.858173820395738,4.011308249619482
31,2020,18.07807288912392,6.494463978494624
33,2016,5.300092382513661,2.557907491803279
33,2017,7.206815159817352,3.173244273972603
33,2018,10.274441278538813,4.218421625570776
33,2019,5.515303926940639,2.213673187214612
33,2020,10.110270882123341,4.063068475149623
35,2016,6.203638767455981,3.535992647237401
35,2017,7.126507153729072,3.659701796042618
35,2018,8.273875799086758,3.978447336377473
35,2019,5.385869710806697,2.587058234398782
35,2020,10.899817850637523,5.276383090467517
37,2016,11.312979797921492,4.892014471160462
37,2017,11.581609590795082,4.724313667876917
37,2018,12.054455175720157,4.510556492612796
37,2019,10.100813103444244,3.493594632803045
37,2020,12.460580560623362,4.329717646685654
39,2016,10.377421591827037,4.674015805416964
39,2017,11.275465515187612,4.691703085169744
39,2018,13.654129362715902,5.345244455032758
39,2019,8.268580226325194,3.050315616438356
39,2020,17.905047412407586,6.465143442622951
41,2016,6.95211557277695,2.97455739195231
41,2017,9.952784159402242,3.956801270236613
41,2018,11.053184458281445,4.157415462017435
41,2019,6.919877110834371,2.409498789539228
41,2020,9.364729985254575,3.270105785410703
43,2016,7.644941384335155,3.940559694899818
43,2017,8.252303652968036,3.860554794520548
43,2018,12.038029680365297,5.153894155251142
43,2019,5.872330593607306,2.434254474885845
43,2020,16.617034608378871,6.930073770491803
45,2016,5.680934952185792,2.776170177595628
45,2017,7.909294246575342,3.487111068493151
45,2018,9.118707260273973,3.815844630136986
45,2019,5.493574383561644,2.233444095890411
45,2020,9.941140710382514,4.021235211748634
47,2016,10.923455397568864,4.884438210661314
47,2017,11.963222365110428,4.947480301928991
47,2018,14.708679563880347,5.782397724350014
47,2019,8.808591221694157,3.270920956108471
47,2020,14.848933515482696,5.425099874230202
49,2016,5.118837431693989,3.222642868852459
49,2017,6.537374657534247,3.647233424657534
49,2018,8.743032876712329,4.468515616438356
49,2019,5.297968493150685,2.714983287671233
49,2020,9.178630464480874,4.74818306010929
5,2016,7.531987917425622,3.60076420461445
5,2017,8.559333333333333,3.714326088280061
5,2018,10.846689193302892,4.352353485540335
5,2019,5.414832267884323,2.129566057838661
5,2020,11.645849453551913,4.514897404371585
51,2016,4.914275191256831,2.735559681238616
51,2017,5.434041095890411,2.743653515981735
51,2018,8.198019178082192,3.456538264840183
51,2019,4.522255707762557,1.772849771689498
51,2020,18.670141393442623,6.928997404371585
53,2016,5.680596472471943,2.508236235971561
53,2017,6.110600412431875,2.512085723965238
53,2018,7.136540491972308,2.723529397554868
53,2019,4.875577168949772,1.756748608042422
53,2020,7.870474621689786,2.806797359709962
55,2016,7.045330325136612,3.043193264344262
55,2017,10.668643219178082,4.275554705479452
55,2018,10.759788287671233,4.117815212328767
55,2019,6.528942808219178,2.33287398630137
55,2020,10.607292691256831,3.791491168032787
57,2016,6.444464931693989,3.074978538251366
57,2017,6.681075342465753,2.89068005479452
57,2018,7.880893561643836,3.079696712328767
57,2019,5.702223835616438,2.097192369863014
57,2020,11.64760182849937,4.185097362337116
59,2016,11.156880894034139,4.981600347445214
59,2017,11.603109640822859,4.91662068822671
59,2018,12.209346245822153,4.721911469660594
59,2019,10.067144871251706,3.617280207597797
59,2020,13.147475676830245,4.676659328331642
61,2016,7.465497607843137,3.315366044037287
61,2017,8.017886575342466,3.267581511684126
61,2018,10.49917414987913,4.019238449637389
61,2019,7.109621498791297,2.583390311039484
61,2020,13.425090223330958,4.833117652649085
63,2016,6.835474352068696,3.376492201405152
63,2017,8.047557338551859,3.61099217221135
63,2018,8.610950684931507,3.653658786692759
63,2019,5.893239921722114,2.444213502935421
63,2020,13.371811865729898,5.65440612802498
65,2016,10.296894887754979,4.69300777518426
65,2017,10.179059705464332,4.383276238773474
65,2018,10.334011575796063,4.012168663703166
65,2019,8.810783767274487,3.116295455562612
65,2020,11.150215509420428,4.001091842310695
67,2016,8.783079307114168,3.86281970384927
67,2017,10.016664336026965,4.044477924895208
67,2018,13.470979465018798,5.186940115811763
67,2019,7.979814329544964,2.874025980726848
67,2020,14.357343562299598,5.102566695268633
69,2016,5.644222193243915,2.4504717739692
69,2017,6.160616189290162,2.457680199252802
69,2018,7.765047322540473,2.893126251556662
69,2019,5.292397758405978,1.843692229140722
69,2020,9.109907786885246,3.117616370673953
7,2016,7.515311793635487,3.546352797064181
7,2017,8.660100940102068,3.704671920494225
7,2018,12.945550523771152,5.424961616975557
7,2019,7.275473435401558,2.826463905452592
7,2020,16.112828627808136,6.105788134992916
71,2016,10.639765237164394,4.70610619293764
71,2017,10.917829728626053,4.544526784719902
71,2018,10.966402717451832,4.158623387905112
71,2019,9.514816965512121,3.3343833827078
71,2020,11.638593851872699,4.162662368957996
73,2016,8.996968524415858,4.23747903931463
73,2017,9.307728303947915,4.176399218282318
73,2018,9.965894361058312,4.133533709117127
73,2019,8.848052452426209,3.481317978632759
73,2020,11.671690211387177,4.627591326156105
75,2016,7.723581092338575,3.220005797786328
75,2017,10.183956499860218,3.945055870841487
75,2018,11.965992074363992,4.39138156415991
75,2019,7.501897777467151,2.528621947162427
75,2020,10.089778509361283,3.389593722565619
77,2016,10.65156112945709,4.654379877737154
77,2017,11.813952498275352,4.789107586478762
77,2018,15.173272671725633,5.868637287868336
77,2019,8.233579008573963,3.005656424558983
77,2020,14.190583349035865,5.061909226807361
79,2016,6.89388591813589,3.123346961542427
79,2017,7.200359627810804,3.038147510984751
79,2018,6.984052158180408,2.689993135177048
79,2019,5.248602171103644,1.911925329542517
79,2020,8.820147423887588,3.180087552693208
81,2016,7.42012721691914,3.208179221311475
81,2017,9.414534680076296,3.77973829547425
81,2018,11.084586214669672,4.245748583318883
81,2019,7.026599462458817,2.492244178949194
81,2020,9.791852882984737,3.473950133471516
83,2016,7.43421483852152,3.327800283354823
83,2017,9.140198583961828,3.822130885023857
83,2018,7.853596860089272,2.893716903186086
83,2019,5.510890688009851,1.916944743727874
83,2020,8.086396024464832,2.785234037699905
85,2016,7.741190833259886,3.24868652689641
85,2017,8.834523287671233,3.428744043305347
85,2018,10.615493349536014,3.909313100603918
85,2019,7.052331366917072,2.417603272941523
85,2020,10.931139618825672,3.687706089279974
87,2016,5.969651883669609,2.546060368327028
87,2017,6.932101844046365,2.748662186512118
87,2018,8.196150790305585,3.047334815595364
87,2019,5.916234773445732,2.061575816649104
87,2020,8.985773536299766,3.056308282591725
89,2016,5.764244015255009,3.229659080714936
89,2017,7.828870205479452,3.816593099315068
89,2018,12.085891894977169,5.46054303652968
89,2019,6.129558675799087,2.779429549086758
89,2020,11.229434808743169,4.98449106557377
9,2016,7.674249904371585,3.699782229508197
9,2017,9.150361917808219,4.033087068493151
9,2018,11.73700794520548,4.756456712328767
9,2019,5.477136164383562,2.18887898630137
9,2020,12.225794106167057,4.783903512880562
91,2016,6.500795163934426,3.207332896174863
91,2017,6.729912328767123,3.031567671232877
91,2018,7.385758904109589,3.10208301369863
91,2019,5.0938,2.08071095890411
91,2020,10.779945355191257,4.340654644808743
93,2016,5.138106976971116,3.118355610850898
93,2017,7.82166927592955,4.060973307240704
93,2018,11.292036203522505,5.04441698630137
93,2019,5.681882778864971,2.470334442270059
93,2020,10.122160348360656,4.386490710382514
95,2016,7.800408438638434,3.439092646857924
95,2017,10.769295947488584,4.385496418378995
95,2018,12.28119703196347,4.775131258561644
95,2019,7.35598544520548,2.654849297945206
95,2020,11.676832786885246,4.244090139344262
97,2016,6.035338676933267,2.763513855770823
97,2017,9.441152096305521,4.001085595682856
97,2018,9.476528324339283,3.811085056039851
97,2019,6.293970250449702,2.398090601909506
97,2020,9.286384260503449,3.527184473259876
99,2016,11.221297976979421,4.84198051592838
99,2017,12.429667385601865,4.960886624890702
99,2018,15.449597172835908,5.883029271349461
99,2019,8.750373593704459,3.164340294374818
99,2020,14.97031262197502,5.267033596799376
